${0},,
"${0} ${1} already exists.","${0} ${1} bestaat al.",
"${0} ${1} does not exist","${0} ${1} bestaat niet",
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} is gewijzigd na het laden laad de invoer opnieuw.",
"${0} ${1} is linked with existing records.","${0} ${1} is gekoppeld aan bestaande records.",
"${0} account not set in Inventory Settings.","${0} account niet ingesteld in Inventarisinstellingen.",
"${0} already applied.",,
"${0} already saved","${0} reeds opgeslagen",
"${0} already submitted","${0} reeds ingediend",
"${0} before ${1}",,
"${0} cancelled","${0} geannuleerd",
"${0} cannot be cancelled","${0} kan niet worden geannuleerd",
"${0} cannot be deleted","${0} kan niet worden verwijderd",
"${0} deleted","${0} verwijderd",
"${0} entries failed","${0} invoeren mislukt",
"${0} entries imported","${0} gegevens geïmporteerd",
"${0} entry failed","${0} invoer mislukt",
"${0} entry imported","${0} invoer geïmporteerd",
"${0} fields selected","${0} velden geselecteerd",
"${0} filters applied","${0} filters toegepast",
"${0} has linked child accounts.","${0} heeft child-accounts gekoppeld.",
"${0} of type ${1} does not exist","${0} van het type ${1} bestaat niet",
"${0} only has ${1} points",,
"${0} only has ${1} points (${2} will be earned from this transaction)",,
"${0} out of ${1}","${0} van ${1}",
"${0} party ${1} is different from ${2}","${0} partij ${1} verschilt van ${2}",
"${0} quantity ${1} added.",,
"${0} quantity 1 added.","${0} hoeveelheid 1 toegevoegd.",
"${0} row added.","${0} rij toegevoegd.",
"${0} rows","${0} rijen",
"${0} rows added.","${0} rijen toegevoegd.",
"${0} saved","${0} opgeslagen",
"${0} shortcuts","${0} snelkoppelingen",
"${0} stored at ${1}","${0} opgeslagen in ${1}",
"${0} submitted","${0} Ingezonden",
"${0} value ${1} does not exist.","${0} waarde ${1} bestaat niet.",
0%,,
03-23-2022,,
03/23/2022,,
"1 filter applied","1 filter toegepast",
2022-03-23,,
"20th of the following month: ${0}",,
"23 Mar, 2022",,
23-03-2022,,
23.03.2022,,
23/03/2022,,
27AAAAA0000A1Z5,,
9888900000,,
"A submittable entry is deleted only if it is in the cancelled state.","Een in te dienen item wordt alleen verwijderd als het zich in de status geannuleerd bevindt.",
"API Base URL",,
"Abatement Maximum",,
"Abatement Minimum",,
Absent,,
Account,Rekening,
"Account ${0} does not exist.","Rekening ${0} bestaat niet.",
"Account Entries",Boekingen,
"Account Name","Rekening Naam",
"Account Type","Rekening Type",
Accounting,Boekhouding,
"Accounting Entries",Boekhoudgegevens,
"Accounting Ledger Entry",Grootboekboeking,
"Accounting Settings","Boekhoud Instellingen",
Accounts,Rekeningen,
"Accounts Payable",Crediteuren,
"Accounts Receivable",Debiteuren,
"Accumulated Depreciation","Opgebouwde Afschrijvingen",
Action,Actie,
Active,Actief,
"Add Account","Rekening Toevoegen",
"Add Customers","Klanten Toevoegen",
"Add Group","Groep Toevoegen",
"Add Items","Artikelen Toevoegen",
"Add Row","Rij Toevoegen",
"Add Suppliers","Leveranciers Toevoegen",
"Add Taxes","Belastingen Toevoegen",
"Add a few customers to create your first sales invoice","Voeg enkele klanten toe om uw eerste verkoopfactuur te maken",
"Add a few suppliers to create your first purchase invoice","Voeg een paar leveranciers toe om uw eerste inkoopfactuur te maken",
"Add a filter","Filter toevoegen",
"Add a remark","Opmerking toevoegen",
"Add attachment","Bijlage toevoegen",
"Add invoice terms","Factuurvoorwaarden toevoegen",
"Add products or services that you buy from your suppliers","Voeg producten of diensten toe die u van uw leveranciers inkoopt",
"Add products or services that you sell to your customers","Voeg producten of diensten toe die u aan uw klanten verkoopt",
"Add quote terms",,
"Add transfer terms","Transfervoorwaarden toevoegen",
"Add'l Discounts","Extra Kortingen",
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.","Extra ${0} serienummers vereist voor ${1} hoeveelheid van ${2}.",
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}","Extra hoeveelheid (${0}) vereist${1} om uitgaande transfer van item ${2} van ${3} op ${4} uit te voeren",
Address,Adres,
"Address Display","Adres Weergave",
"Address Line 1","Adresregel 1",
"Address Line 2","Adresregel 2",
"Address Name","Adres Naam",
"Administrative Expenses","Administratieve Kosten",
Alert,,
All,Alle,
"Allow to bypass filters",,
"Allowances Total",,
Amount,Bedrag,
"Amount Paid","Betaald Bedrag",
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","Bedrag: ${0} en afschrijving: ${1} is minder dan het totale bedrag toegewezen aan referenties: ${2}.",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","Bedrag: ${0} is minder dan het totale bedrag toegewezen aan referenties: ${1}.",
Amounts,Bedragen,
"An entry is cancelled only if it is in the submitted state.","Een invoer wordt alleen geannuleerd als deze zich in de ingediende status bevindt.",
"An entry is submitted only if it is submittable and is in the saved state.","Een item wordt alleen ingediend als het indienbaar is en zich in de opgeslagen status bevindt.",
"An error occurred.","Er is een fout opgetreden.",
And,,
"Annual Leave",,
"Annual Wage Declaration (DAS)",,
"Applicable anywhere in Frappe Books","Overal toepasbaar in Frappe Books",
