${0},,
"${0} ${1} already exists.","${0} ${1} પહેલાથી અસ્તિત્વમાં છે.",
"${0} ${1} does not exist","${0} ${1} અસ્તિત્વમાં નથી",
"${0} ${1} has been modified after loading please reload entry.",,
"${0} ${1} is linked with existing records.","${0} ${1} હાલમાં રેકોર્ડ્સ સાથે જોડાયેલ છે.",
"${0} account not set in Inventory Settings.","${0} ખાતું માલસૂચી સંયોજન માં સક્ષમ નથી",
"${0} already applied.",,
"${0} already saved",,
"${0} already submitted",,
"${0} before ${1}",,
"${0} cancelled",,
"${0} cannot be cancelled",,
"${0} cannot be deleted",,
"${0} deleted",,
"${0} entries failed",,
"${0} entries imported",,
"${0} entry failed",,
"${0} entry imported",,
"${0} fields selected","${0} ખાનાઓ લાગુ",
"${0} filters applied","${0} તપાસો લાગુ",
"${0} has linked child accounts.",,
"${0} of type ${1} does not exist","${0}નો પ્રકાર ${1} અસ્તિત્વ માં નથી",
"${0} only has ${1} points",,
"${0} only has ${1} points (${2} will be earned from this transaction)",,
"${0} out of ${1}","${1} માંથી ${0}",
"${0} party ${1} is different from ${2}","${0} {1} પેઢી ${2} થી અલગ છે",
"${0} quantity ${1} added.",,
"${0} quantity 1 added.","${0} માત્રા 1 ઉમેરાણી",
"${0} row added.",,
"${0} rows","${0} પંક્તિઓ",
"${0} rows added.",,
"${0} saved",,
"${0} shortcuts",,
"${0} stored at ${1}",,
"${0} submitted",,
"${0} value ${1} does not exist.","{0} મૂલ્ય ${1} અસ્તિત્વમાં નથી",
0%,0%,
03-23-2022,03-23-2022,
03/23/2022,03/23/2022,
"1 filter applied","1 તપાસ લાગુ",
2022-03-23,,
"20th of the following month: ${0}",,
"23 Mar, 2022",,
23-03-2022,23-03-2022,
23.03.2022,,
23/03/2022,,
27AAAAA0000A1Z5,,
9888900000,9888900000,
"A submittable entry is deleted only if it is in the cancelled state.",,
"API Base URL",,
"Abatement Maximum",,
"Abatement Minimum",,
Absent,,
Account,ખાતું,
"Account ${0} does not exist.","${0} ખાતું અસ્તિત્વ માં નથી",
"Account Entries","ખાતા લેવડદેવડ",
"Account Name","ખાતા નું નામ",
"Account Type","ખાતાના પ્રકાર",
Accounting,,
"Accounting Entries","હિસાબી લેવડદેવડ",
"Accounting Ledger Entry","ખાતાવહી ખતવણી",
"Accounting Settings","હિસાબી સંયોજન",
Accounts,હિસાબ,
"Accounts Payable","ચુકવવાપાત્ર ખાતાઓ",
"Accounts Receivable","મળવાપાત્ર હિસાબ",
"Accumulated Depreciation","સંચિત અવમૂલ્યન",
Action,,
Active,,
"Add Account","ખાતું ઉમેરો",
"Add Customers","ગ્રાહકો ઉમેરો",
"Add Group","સમૂહ ઉમેરો",
"Add Items","ઉત્પાદન ઉમેરો",
"Add Row","વિગત ઉમેરો",
"Add Suppliers","વિક્રેતાઓ ઉમેરો",
"Add Taxes","કરવેરા ઉમેરો",
"Add a few customers to create your first sales invoice","પ્રથમ વેચાણ ભરતિયું નિર્માણ કરવા પહેલા થોડાક ગ્રાહક ઉમેરો",
"Add a few suppliers to create your first purchase invoice","પ્રથમ ખરીદી ભરતિયું નિર્માણ કરવા પહેલા થોડાક વિક્રેતા ઉમેરો",
"Add a filter","તપાસ ઉમેરો",
"Add a remark","એક ટિપ્પણી ઉમેરો",
"Add attachment","ટાંચ ઉમેરો",
"Add invoice terms","બિલ શરતો ઉમેરો",
"Add products or services that you buy from your suppliers","તમે તમારા વિક્રેતા પાસેથી ખરીદેલા ઉત્પાદનો અથવા સેવાઓ ઉમેરો",
"Add products or services that you sell to your customers","તમે તમારા ગ્રાહકોને વેચતા ઉત્પાદનો અથવા સેવાઓ ઉમેરો",
"Add quote terms",,
"Add transfer terms","સ્થળાંતર શરતો ઉમેરો",
"Add'l Discounts",,
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.",,
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}",,
Address,સરનામું,
"Address Display","પ્રદર્શિત સરનામુ",
"Address Line 1","સરનામું કડી 1",
"Address Line 2","સરનામુ કડી 2",
"Address Name",,
"Administrative Expenses","વહીવટી ખર્ચ",
Alert,,
All,બધા,
"Allow to bypass filters",,
"Allowances Total",,
Amount,રકમ,
"Amount Paid","ચૂકવેલ રકમ",
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","રકમ: ${0} અને રાઇટઓફ: ${1} સંદર્ભોને ફાળવવામાં આવેલી કુલ રકમ કરતા ઓછી છે: ${2}.",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","રકમ: ${0} સંદર્ભોને ફાળવવામાં આવેલી કુલ રકમ કરતા ઓછી છે: ${1}.",
Amounts,,
"An entry is cancelled only if it is in the submitted state.",,
"An entry is submitted only if it is submittable and is in the saved state.",,
"An error occurred.","એક ચૂક આવી.",
And,,
"Annual Leave",,
"Annual Wage Declaration (DAS)",,
"Applicable anywhere in Frappe Books",,
"Applicable when POS is open",,
"Applicable when Quick Search is open",,
"Applicable when Template Builder is open",,
"Applicable when a entry is open in the Form view or Quick Edit view",,
"Applicable when the List View of an entry type is open",,
"Application of Funds (Assets)","ભંડોળ વપરાશ (રોકાણ)",
"Applied Coupon Codes",,
"Applied Items",,
Apply,,
"Apply Discount After Tax",,
"Apply Price List",,
"Apply and view changes made to the print template",,
Approved,,
Apr,,
April,એપ્રિલ,
Arial,Arial,
"Ascending Order","ચડતો હુકમ",
Asset,રોકાણ,
"Attach Image",,
Attachment,સંપેતરું,
Attendance,,
Aug,,
August,ઓગસ્ટ,
"Auth Token",,
"Auto Payments",,
"Auto Stock Transfer",,
Autocomplete,,
"Available Loyalty Points",,
Back,,
"Back Reference","ઊલટ સંદર્ભ",
"Bad import data, could not read file.",,
Balance,સિલક,
"Balance Amount",,
"Balance Sheet","પાકું સરવૈયું",
Bank,બેંક,
"Bank Accounts","બેંક ખાતા",
"Bank Details",,
"Bank Entry","બેંક ખતવણી",
"Bank Name","બેંકનું નામ",
"Bank Overdraft Account","બેંક ઓવરડ્રાફ્ટ ખાતું",
Barcode,બારકોડ,
"Barcode ${0} has an invalid length.",,
"Barcode must be exactly 12 digits.",,
"Base Grand Total","પ્રમુખ કુલ રકમ",
"Base Salary",,
"Based On","આના આધારે",
Batch,,
"Batch ${0} does not belong to Item ${1}",,
"Batch ${0} only has ${1} quantity available but ${2} is required",,
"Batch Series",,
"Batch Series cannot contain the following characters: /, ?, &, =, %",,
"Batch not set for row ${0}.",,
"Batch set for row ${0}.",,
"Before 31 March ${0}",,
"Bill Created","બિલ નિર્માણ",
Billing,,
Billion,,
Black,Black,
Blue,Blue,
Bonus,,
Both,બંને,
"Both From and To Location cannot be undefined","બન્ને થકી અને પ્રત્યે સ્થળ ખાલી હોય શકે નહીં",
Buildings,મકાનો,
CHE-123.456.789,,
CIN,,
CNAS,,
"CNAS Employee Rate",,
"CNAS Employer Rate",,
"CNAS Number",,
"Can Change Discount",,
"Can Change Rate",,
Cancel,ફોક,
"Cancel ${0}?",,
"Cancel Button Colour",,
"Cancel or Delete an entry.",,
Cancelled,"ફોક કરાયેલ",
"Cannot Commit Error",,
"Cannot Delete","કાઢી શકાય તેમ નથી",
"Cannot Delete Account",,
"Cannot Export",,
"Cannot Import",,
"Cannot Open File",,
"Cannot add an item to a submitted invoice.",,
"Cannot cancel ${0} ${1} because of the following ${2}: ${3}","${2} ના કારણે ${0} {1} ફોક થાઈ તેમ નથી : ${3}",
"Cannot cancel ${0} because of the following ${1}: ${2}",,
"Cannot delete ${0} ""${1}"" because of linked entries.",,
"Cannot open file",,
"Cannot perform operation.","પ્રક્રિયા નહીં થઈ શકે.",
"Cannot read file",,
"Capital Equipments","મૂડીનાં સાધનો",
"Capital Stock","મૂડીનો હિસ્સો",
Cash,રોકડ,
"Cash Denominations",,
"Cash Entry","રોકડ ખતવણી",
"Cash In Denominations",,
"Cash In Hand","હાથ પર રોકડ",
Cashflow,"રોકડ પ્રવાહ",
Casual,,
"Casual Leave",,
Ceil,,
"Ceiling for the professional expense abatement (DZD). Narrow-band smoothing only — see code comment in payroll.ts. Not applied to match the official worked example.",,
"Central Tax","કેન્દ્રીય કર",
"Change DB","ડીબી બદલો",
"Change File","ફાઈલ બદલો",
"Change Ref Type","સંદર્ભ પ્રકાર બદલો",
"Changes made to settings will be visible on reload.",,
Chargeable,તહોમતપાત્ર,
"Chart Of Accounts Reviewed","હિસાબી આલેખ સમીક્ષા",
"Chart of Accounts","હિસાબી આલેખ",
Check,,
"Check Digits",,
"City / Town","શહેર / ગામ",
Classic,,
Clear,ચોખ્ખુ,
"Clear Synced Data From ERPNext SyncQueue",,
"Clearance Date","ક્લિઅરન્સ તારીખ",
"Clearance Date not set.",,
"Clicking continue will remove all the selected items.",,
Close,બંધ,
"Close Frappe Books and try manually.",,
"Close POS Shift",,
"Close Quick Search",,
Closing,આખર,
"Closing ${0} Amount can not be negative.",,
"Closing (Cr)","આખર સિલક (Cr)",
"Closing (Dr)","આખર સિલક (Dr)",
"Closing Amount",,
"Closing Amounts",,
"Closing Cash",,
"Closing Cash In Denominations",,
"Closing Date",,
Code,,
Collapse,સંકોચો,
"Collection Factor",,
"Collection Rules",,
Color,રંગ,
Colour,,
"Commission on Sales","વેચાણ પર આડત",
Common,સર્વસામાન્ય,
Company,કંપની,
"Company Logo","કંપનીનું પ્રતીક",
"Company Name","કંપની નું નામ",
"Company Setup","કંપની સ્થાપન",
Completed,પૂર્ણ,
Condition,અવસ્થા,
"Consolidate Columns","એકીકૃત કોલમ",
Consumer,,
Contact,,
Contacts,,
Contains,સમાવિષ્ટ,
Continue,,
"Continue submitting Sales Invoice?",,
"Contra Entry","લેવડદેવડ ખતવણી",
"Conversion Error",,
"Conversion Factor",,
Converted,,
"Cost Of Goods Sold Acc.","વેચાણ મૂલ્ય ખાતું",
"Cost of Goods Sold","વેચાણ મૂલ્ય",
"Could not connect to database file ${0}, please select the file manually",,
Count,,
"Counter Cash Account",,
Country,દેશ,
"Country Code","દેશનો કોડ",
"Country code used to initialize regional settings.","પ્રાદેશિક નિયમન પ્રારંભ કરવા માટે દેશ કોડ વપરાય છે.",
"Coupon ${0} is not applicable for applied items.",,
"Coupon Code",,
"Coupon Name",,
Coupons,,
Courier,Courier,
Cr.,,
"Cr. ${0}",,
Create,"નિર્માણ કરો",
"Create Demo","ડેમો નિર્માણ",
"Create Payment.",,
"Create Purchase","ખરીદી નિર્માણ",
"Create Purchase Invoice","ખરીદી ભરતિયું નિર્માણ",
"Create Sale","વેચાણ નિર્માણ",
"Create Sales Invoice","વેચાણ ભરતિયું નિર્માણ",
"Create a demo company to try out Frappe Books",,
"Create a new company and store it on your computer",,
"Create a new company or select an existing one from your computer",,
"Create a new entry of the same type as the List View",,
"Create new ${0} entry?",,
"Create your first purchase invoice from the created supplier","મોજૂદ વિક્રેતા પરથી પ્રથમ ખરીદ ભરતિયું નિર્માણ કરો",
"Create your first sales invoice for the created customer","મોજૂદ ગ્રાહક પરથી પ્રથમ વેચાણ ભરતિયું નિર્માણ કરો",
Created,"નિર્માણ થયું",
"Created By","નિર્માણ પ્રમાણે",
"Creating Items and Parties","ચીજવસ્તુઓ અને પક્ષૉ નિર્માણ થઈ રહ્યા છે",
"Creating Journal Entries","આમનોંધ લેવડદેવડ નિર્માણ થઈ રહી છે",
