${0},,
"${0} ${1} already exists.",,
"${0} ${1} does not exist",,
"${0} ${1} has been modified after loading please reload entry.",,
"${0} ${1} is linked with existing records.","${0} ${1} 가 기록과 연결되었습니다.",
"${0} account not set in Inventory Settings.",,
"${0} already applied.",,
"${0} already saved",,
"${0} already submitted",,
"${0} before ${1}",,
"${0} cancelled",,
"${0} cannot be cancelled",,
"${0} cannot be deleted",,
"${0} deleted",,
"${0} entries failed",,
"${0} entries imported",,
"${0} entry failed",,
"${0} entry imported",,
"${0} fields selected",,
"${0} filters applied","${0} 필터가 적용되었습니다.",
"${0} has linked child accounts.",,
"${0} of type ${1} does not exist",,
"${0} only has ${1} points",,
"${0} only has ${1} points (${2} will be earned from this transaction)",,
"${0} out of ${1}","${0} ${1} 을 벗어났습니다.",
"${0} party ${1} is different from ${2}",,
"${0} quantity ${1} added.",,
"${0} quantity 1 added.",,
"${0} row added.",,
"${0} rows","${0} 행",
"${0} rows added.",,
"${0} saved",,
"${0} shortcuts",,
"${0} stored at ${1}",,
"${0} submitted",,
"${0} value ${1} does not exist.",,
0%,,
03-23-2022,,
03/23/2022,,
"1 filter applied","1개의 필터가 적용되었습니다.",
2022-03-23,,
"20th of the following month: ${0}",,
"23 Mar, 2022",,
23-03-2022,,
23.03.2022,,
23/03/2022,,
27AAAAA0000A1Z5,,
9888900000,"02 1234 5678",
"A submittable entry is deleted only if it is in the cancelled state.",,
"API Base URL",,
"Abatement Maximum",,
"Abatement Minimum",,
Absent,,
Account,계정,
"Account ${0} does not exist.",,
"Account Entries","계정 정보",
"Account Name","계정 이름",
"Account Type","계정 타입",
Accounting,,
"Accounting Entries",,
"Accounting Ledger Entry","회계 원장 정보",
"Accounting Settings","회계 설정",
Accounts,계정,
"Accounts Payable","결제가능한 계정",
"Accounts Receivable","거래처 계정",
"Accumulated Depreciation","누적 감가상각",
Action,,
Active,,
"Add Account","계좌 추가",
"Add Customers","고객 추가",
"Add Group","그룹 추가",
"Add Items","아이템 추가",
"Add Row","행 추가",
"Add Suppliers","공급자 추가",
"Add Taxes","세금 추가",
"Add a few customers to create your first sales invoice","첫 구매 인보이스 생성와 함께 여러 고객 추가",
"Add a few suppliers to create your first purchase invoice","첫 결제 인보이스 생성과 함께 여러 공급자 추가",
"Add a filter","필터 추가",
"Add a remark","참고사항 추가",
"Add attachment",,
"Add invoice terms","인보이스 조건 추가",
"Add products or services that you buy from your suppliers","공급받은 물건 또는 용역 추가",
"Add products or services that you sell to your customers","공급한 물건 또는 용역 추가",
"Add quote terms",,
"Add transfer terms",,
"Add'l Discounts",,
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.",,
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}",,
Address,주소,
"Address Display","표시되는 주소",
"Address Line 1","주소 1",
"Address Line 2","주소 2",
"Address Name",,
"Administrative Expenses","관리 비용",
Alert,,
All,모든,
"Allow to bypass filters",,
"Allowances Total",,
Amount,총액,
"Amount Paid",지불액,
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","Amount: ${0} is less than the total amount allocated to references: ${1}.",
Amounts,,
"An entry is cancelled only if it is in the submitted state.",,
"An entry is submitted only if it is submittable and is in the saved state.",,
"An error occurred.","오류가 발생하였습니다.",
And,,
"Annual Leave",,
"Annual Wage Declaration (DAS)",,
"Applicable anywhere in Frappe Books",,
"Applicable when POS is open",,
"Applicable when Quick Search is open",,
"Applicable when Template Builder is open",,
"Applicable when a entry is open in the Form view or Quick Edit view",,
"Applicable when the List View of an entry type is open",,
"Application of Funds (Assets)","자금 운용 (자산)",
"Applied Coupon Codes",,
"Applied Items",,
Apply,,
"Apply Discount After Tax",,
"Apply Price List",,
"Apply and view changes made to the print template",,
Approved,,
Apr,,
April,,
Arial,,
"Ascending Order",오름차순,
Asset,자산,
"Attach Image",,
Attachment,,
Attendance,,
Aug,,
August,,
"Auth Token",,
"Auto Payments",,
"Auto Stock Transfer",,
Autocomplete,,
"Available Loyalty Points",,
Back,,
"Back Reference",,
"Bad import data, could not read file.",,
Balance,잔액,
"Balance Amount",,
"Balance Sheet",대차대조표,
Bank,은행,
"Bank Accounts","은행 계좌",
"Bank Details",,
"Bank Entry","은행 정보",
"Bank Name",은행명,
"Bank Overdraft Account","당좌대월 은행 계좌 (마이너스)",
Barcode,,
"Barcode ${0} has an invalid length.",,
"Barcode must be exactly 12 digits.",,
"Base Grand Total",,
"Base Salary",,
"Based On",기반,
Batch,,
"Batch ${0} does not belong to Item ${1}",,
"Batch ${0} only has ${1} quantity available but ${2} is required",,
"Batch Series",,
"Batch Series cannot contain the following characters: /, ?, &, =, %",,
"Batch not set for row ${0}.",,
"Batch set for row ${0}.",,
"Before 31 March ${0}",,
"Bill Created","영수증 발행",
Billing,,
Billion,,
Black,"검은색 ",
Blue,파란색,
Bonus,,
Both,,
"Both From and To Location cannot be undefined",,
Buildings,건물,
CHE-123.456.789,,
CIN,,
CNAS,,
"CNAS Employee Rate",,
"CNAS Employer Rate",,
"CNAS Number",,
"Can Change Discount",,
"Can Change Rate",,
Cancel,취소,
"Cancel ${0}?",,
"Cancel Button Colour",,
"Cancel or Delete an entry.",,
Cancelled,취소되었습니다.,
"Cannot Commit Error",,
"Cannot Delete","지울 수 없습니다.",
"Cannot Delete Account",,
"Cannot Export",,
"Cannot Import",,
"Cannot Open File",,
"Cannot add an item to a submitted invoice.",,
"Cannot cancel ${0} ${1} because of the following ${2}: ${3}",,
"Cannot cancel ${0} because of the following ${1}: ${2}",,
"Cannot delete ${0} ""${1}"" because of linked entries.",,
"Cannot open file",,
"Cannot perform operation.",,
"Cannot read file",,
"Capital Equipments",자산장비,
"Capital Stock",자산주식,
Cash,현금,
"Cash Denominations",,
"Cash Entry","현금 요소",
"Cash In Denominations",,
"Cash In Hand","현금 지불",
Cashflow,"현금 흐름",
Casual,,
"Casual Leave",,
Ceil,,
"Ceiling for the professional expense abatement (DZD). Narrow-band smoothing only — see code comment in payroll.ts. Not applied to match the official worked example.",,
"Central Tax",국세,
"Change DB","DB 변경",
"Change File","파일 바꾸기",
"Change Ref Type","참조 타입 바꾸기",
"Changes made to settings will be visible on reload.",,
Chargeable,지불해야하는,
"Chart Of Accounts Reviewed","감사 완료된 회계 계통도",
"Chart of Accounts","회계 계통도",
Check,,
"Check Digits",,
"City / Town",시/군/구,
Classic,,
Clear,지움,
"Clear Synced Data From ERPNext SyncQueue",,
"Clearance Date",승인일,
"Clearance Date not set.",,
"Clicking continue will remove all the selected items.",,
Close,닫기,
"Close Frappe Books and try manually.",,
"Close POS Shift",,
"Close Quick Search",,
Closing,결산,
"Closing ${0} Amount can not be negative.",,
"Closing (Cr)","결산 (대변)",
"Closing (Dr)","결산 (차변)",
"Closing Amount",,
"Closing Amounts",,
"Closing Cash",,
"Closing Cash In Denominations",,
"Closing Date",,
Code,,
Collapse,,
"Collection Factor",,
"Collection Rules",,
Color,색상,
Colour,,
"Commission on Sales","판매 수당",
Common,기타,
Company,,
"Company Logo","회사 로고",
"Company Name","회사 이름",
"Company Setup","회사 셋업",
Completed,완료,
Condition,조건,
"Consolidate Columns","열 통합",
Consumer,,
Contact,,
Contacts,,
Contains,초함,
Continue,,
"Continue submitting Sales Invoice?",,
"Contra Entry",반대기입,
"Conversion Error",,
"Conversion Factor",,
Converted,,
"Cost Of Goods Sold Acc.",,
"Cost of Goods Sold","판매된 물건 비용",
